SHA,Dev,"Decker,Jaff"
SHA,Dev,"Hart,Corey"
SHA,Dev,"Kalish,Ryan"
SPI,40,"Jackson,Edwin"
SPI,40,"Weaver,Jered"
SPI,40,"Murphy,David"
SPI,Dev,"Blanton,Joe"
SPI,Dev,"Downs,Scott"
SPI,Dev,"Ohlendorf,Ross"
SPI,Dev,"Oviedo,Juan Carlos(Nunez)"
SPI,Dev,"Stewart,Zach"
SPI,Dev,"Green,Grant"
SPI,Dev,"Viciedo,Dayan"
STA,40,"Hochevar,Luke"
STA,40,"Rodney,Fernando"
STA,40,"Sabathia,C.C."
STA,40,"Loney,James"
STA,40,"Peralta,Jhonny"
STA,40,"Denorfia,Chris"
STA,Dev,"Aumont,Phillippe"
STA,Dev,"Billingsley,Chad"
STA,Dev,"Burton,Jared"
STA,Dev,"Crain,Jesse"
STA,Dev,"Friedrich,Christian"
STA,Dev,"Rodriguez,Wandy"
STA,Dev,"Dominguez,Matt"
STA,Dev,"Lambo,Andrew"
STA,Dev,"Punto,Nick"
STA,Dev,"Triunfel,Carlos"
STA,Dev,"Johnson,Reed"
TON,40,"Romo,Sergio"
TON,40,"Hanigan,Ryan"
TON,40,"Jeter,Derek"
TON,40,"Young,Chris (NYY)"
TON,Dev,"Lannan,John"
TON,Dev,"Joyce,Matt"
TOR,40,"Bedard,Erik"
TOR,40,"Guerrier,Matt"
TOR,40,"Vargas,Jason"
TOR,40,"Villanueva,Carlos"
TOR,40,"Bloomquist,Willie"
TOR,40,"Infante,Omar"
TOR,40,"Ramirez,Alexei"
TOR,Dev,"Bard,Daniel"
TOR,Dev,"Elbert,Scott"
TOR,Dev,"Everts,Clint"
TOR,Dev,"Feliciano,Pedro"
TOR,Dev,"Poreda,Aaron"
TOR,Dev,"Santos,Sergio"
TOR,Dev,"Weathers,Casey"
TOR,Dev,"Zito,Barry"
MAR,40,"Mathis,Jeff"
TOR,Dev,"Ross,Cody"
TOR,Dev,"Santana,Johan"
TOR,Dev,"Burgess,Michael"
TOR,Dev,"Hairston,Scott"
