SHA,Dev,"Stock,Robert"
SPI,40,"Colon,Bartolo"
SPI,40,"Escobar,Yunel"
SPI,40,"Gomes,Jonny"
SPI,40,"Hudson,Tim"
SPI,40,"Pierzynski,A.J."
SPI,Dev,"Blanton,Joe"
SPI,Dev,"Dotel,Octavio"
SPI,Dev,"Downs,Scott"
SPI,Dev,"Fields,Josh"
SPI,Dev,"Goodwin,Brian"
SPI,Dev,"Jackson,Edwin"
SPI,Dev,"Johnson,Kelly"
SPI,Dev,"Oviedo,Juan Carlos(Nunez)"
SPI,Dev,"Tate,Donavan"
SPI,Dev,"Westbrook,Jake"
STA,40,"O'Flaherty,Eric"
STA,40,"Punto,Nick"
STA,Dev,"Albers,Matt"
STA,Dev,"Furcal,Rafael"
STA,Dev,"Giambi,Jason"
STA,Dev,"Moskos,Daniel"
STA,Dev,"Olivo,Miguel"
STA,Dev,"Rivera,Mariano"
STA,Dev,"Rodriguez,Wandy"
STA,Dev,"Santos,Sergio"
TON,40,"Affeldt,Jeremy"
TON,40,"Broxton,Jonathan"
TON,40,"Crisp,Coco"
TON,40,"Guerrier,Matt"
TON,40,"Nolasco,Ricky"
TON,40,"Phillips,Brandon"
TON,Dev,"Aumont,Phillippe"
TON,Dev,"Farnsworth,Kyle"
TON,Dev,"Holt,Brad"
TON,Dev,"Jurrjens,Jair"
TON,Dev,"Lannan,John"
TON,Dev,"Savery,Joe"
TON,Dev,"Young,Chris (OAK)"
TOR,40,"Adams,Mike"
TOR,40,"Bedard,Erik"
TOR,40,"Bloomquist,Willie"
TOR,40,"Oliver,Darren"
TOR,40,"Rodriguez,Francisco"
TOR,40,"Ross,Cody"
TOR,40,"Soriano,Rafael"
TOR,40,"Young,Delmon"
TOR,40,"Zimmerman,Ryan"
TOR,Dev,"Bard,Daniel"
TOR,Dev,"Carroll,Jamey"
TOR,Dev,"Everts,Clint"
TOR,Dev,"Feliciano,Pedro"
TOR,Dev,"Halladay,Roy"
TOR,Dev,"Marmol,Carlos"
TOR,Dev,"Pelfrey,Mike"
TOR,Dev,"Poreda,Aaron"
TOR,Dev,"Purcey,David"
TOR,Dev,"Teagarden,Taylor"
TOR,Dev,"Weathers,Casey"
TOR,Dev,"Zito,Barry"
